Date/Time,Generation,Best Fitness,Average Fitness,Average Score,High Score,Generation High Score
[2022-12-06 20:01:43 ()],96,8102.23969,226.9351937,0.46,3,3
,,,,,,
[2022-12-06 20:01:53 ()],97,12727.92206,255.7317622,0.49,3,3
,,,,,,
[2022-12-06 20:02:03 ()],98,8432.918356,204.9274445,0.41,3,3
,,,,,,
[2022-12-06 20:02:12 ()],99,4047.715405,217.1231526,0.485,3,2
,,,,,,
[2022-12-06 20:02:22 ()],100,2629.068276,198.3220283,0.49,3,2
,,,,,,
[2022-12-06 20:02:32 ()],101,5050.660155,216.231681,0.5,3,3
,,,,,,
[2022-12-06 20:02:41 ()],102,13824,281.4121404,0.56,4,4
,,,,,,
[2022-12-06 20:02:50 ()],103,3456,223.6504548,0.57,4,3
,,,,,,
[2022-12-06 20:02:59 ()],104,3600.995418,249.5009292,0.63,4,2
,,,,,,
[2022-12-06 20:03:08 ()],105,12132.51631,288.0170466,0.605,4,4
,,,,,,
[2022-12-06 20:03:18 ()],106,13824,343.0411998,0.6,4,4
,,,,,,
[2022-12-06 20:03:28 ()],107,6516.696095,304.8371203,0.65,4,3
,,,,,,
[2022-12-06 20:03:38 ()],108,2629.068276,252.2963637,0.59,4,2
,,,,,,
[2022-12-06 20:03:48 ()],109,5050.660155,234.8596163,0.56,4,3
,,,,,,
[2022-12-06 20:03:57 ()],110,4047.715405,276.4876799,0.63,4,3
,,,,,,
[2022-12-06 20:04:05 ()],111,4047.715405,241.5588104,0.585,4,2
,,,,,,
[2022-12-06 20:04:14 ()],112,3456,226.5126792,0.56,4,3
,,,,,,
[2022-12-06 20:04:23 ()],113,4500,252.9568895,0.625,4,3
,,,,,,
[2022-12-06 20:04:31 ()],114,4500,257.5339516,0.625,4,3
,,,,,,
[2022-12-06 20:04:39 ()],115,2498.716471,240.0794824,0.635,4,3
,,,,,,
[2022-12-06 20:04:48 ()],116,4232.718276,308.0541198,0.665,4,3
,,,,,,
[2022-12-06 20:04:57 ()],117,4991.794868,286.9972687,0.635,4,2
,,,,,,
[2022-12-06 20:05:06 ()],118,4047.715405,292.3375041,0.62,4,2
,,,,,,
[2022-12-06 20:05:15 ()],119,5656.854249,297.8167889,0.59,4,3
,,,,,,
[2022-12-06 20:05:25 ()],120,3714.809282,288.9221109,0.565,4,3
,,,,,,
[2022-12-06 20:05:34 ()],121,4669.807705,238.8471389,0.58,4,3
,,,,,,
[2022-12-06 20:05:44 ()],122,3747.963714,313.9328729,0.66,4,3
,,,,,,
[2022-12-06 20:05:52 ()],123,3747.963714,254.4415373,0.625,4,3
,,,,,,
[2022-12-06 20:06:01 ()],124,2896.309376,228.1754971,0.565,4,2
,,,,,,
[2022-12-06 20:06:10 ()],125,2896.309376,336.610434,0.72,4,2
,,,,,,
[2022-12-06 20:06:19 ()],126,3172.037831,304.4144202,0.675,4,2
,,,,,,
[2022-12-06 20:06:28 ()],127,5656.854249,312.100347,0.63,4,3
,,,,,,
[2022-12-06 20:06:36 ()],128,5656.854249,364.8586671,0.705,4,3
,,,,,,
[2022-12-06 20:06:46 ()],129,4047.715405,349.3654465,0.68,4,3
,,,,,,
[2022-12-06 20:06:56 ()],130,5656.854249,405.1042008,0.67,4,3
,,,,,,
[2022-12-06 20:07:07 ()],131,3714.809282,372.0843806,0.66,4,3
,,,,,,
[2022-12-06 20:07:16 ()],132,4829.906831,346.6308525,0.74,4,3
,,,,,,
[2022-12-06 20:07:27 ()],133,6824.540424,324.6637617,0.615,4,3
,,,,,,
[2022-12-06 20:07:37 ()],134,8432.918356,353.1844711,0.645,4,3
,,,,,,
[2022-12-06 20:07:47 ()],135,5050.660155,340.805416,0.68,4,3
,,,,,,
[2022-12-06 20:07:57 ()],136,6516.696095,328.609411,0.63,4,3
,,,,,,
[2022-12-06 20:08:07 ()],137,6705.050037,326.7817206,0.665,4,2
,,,,,,
[2022-12-06 20:08:16 ()],138,13824,447.3932697,0.735,4,4
,,,,,,
[2022-12-06 20:08:26 ()],139,4232.718276,311.3668609,0.64,4,3
,,,,,,
[2022-12-06 20:08:35 ()],140,4772.682265,376.3670194,0.74,4,3
,,,,,,
[2022-12-06 20:08:44 ()],141,25396.30965,469.697749,0.69,4,4
,,,,,,
[2022-12-06 20:08:54 ()],142,7137.085119,346.5850938,0.615,4,3
,,,,,,
[2022-12-06 20:09:04 ()],143,14029.61154,493.8169206,0.715,5,5
,,,,,,
[2022-12-06 20:09:14 ()],144,6516.696095,317.0575793,0.63,5,3
,,,,,,
[2022-12-06 20:09:23 ()],145,6516.696095,318.1975983,0.655,5,3
,,,,,,
[2022-12-06 20:09:31 ()],146,12132.51631,399.4041989,0.685,5,5
,,,,,,
[2022-12-06 20:09:40 ()],147,7776,382.6496907,0.73,5,4
,,,,,,
[2022-12-06 20:09:49 ()],148,8102.23969,383.5869843,0.715,5,3
,,,,,,
[2022-12-06 20:09:58 ()],149,4047.715405,328.1440483,0.705,5,3
,,,,,,
[2022-12-06 20:10:07 ()],150,5333.834643,385.5374956,0.72,5,3
,,,,,,
[2022-12-06 20:10:16 ()],151,6604.10539,306.1825228,0.635,5,4
,,,,,,
[2022-12-06 20:10:25 ()],152,4232.718276,432.4376061,0.71,5,3
,,,,,,
[2022-12-06 20:10:35 ()],153,5724.334022,319.0402742,0.63,5,4
,,,,,,
[2022-12-06 20:10:44 ()],154,4500,315.00667,0.7,5,3
,,,,,,
[2022-12-06 20:10:53 ()],155,5622.112059,298.7308684,0.585,5,3
,,,,,,
[2022-12-06 20:11:02 ()],156,3172.037831,308.914169,0.665,5,2
,,,,,,
[2022-12-06 20:11:11 ()],157,6516.696095,372.683286,0.675,5,3
,,,,,,
[2022-12-06 20:11:20 ()],158,3747.963714,289.0838428,0.65,5,3
,,,,,,
[2022-12-06 20:11:30 ()],159,6516.696095,360.9993815,0.635,5,3
,,,,,,
[2022-12-06 20:11:39 ()],160,13824,406.0938825,0.705,5,4
,,,,,,
[2022-12-06 20:11:48 ()],161,4669.807705,266.2609102,0.56,5,2
,,,,,,
[2022-12-06 20:11:58 ()],162,5656.854249,388.4108355,0.67,5,3
,,,,,,
[2022-12-06 20:12:08 ()],163,11585.2375,573.9878713,0.82,5,4
,,,,,,
[2022-12-06 20:12:18 ()],164,6516.696095,392.8496168,0.69,5,3
,,,,,,
[2022-12-06 20:12:28 ()],165,8432.918356,559.4681341,0.785,5,3
,,,,,,
[2022-12-06 20:12:38 ()],166,11585.2375,552.0748283,0.75,5,4
,,,,,,
[2022-12-06 20:12:47 ()],167,7524.83249,496.3709666,0.725,5,4
,,,,,,
[2022-12-06 20:12:57 ()],168,6516.696095,503.9808393,0.785,5,3
,,,,,,
[2022-12-06 20:13:07 ()],169,12132.51631,667.6030103,0.805,5,4
,,,,,,
[2022-12-06 20:13:17 ()],170,16731.28806,689.0485896,0.835,5,4
,,,,,,
[2022-12-06 20:13:28 ()],171,12132.51631,567.61247,0.715,5,4
,,,,,,
[2022-12-06 20:13:38 ()],172,8432.918356,595.2644973,0.825,5,3
,,,,,,
[2022-12-06 20:13:48 ()],173,19743.07089,670.5874077,0.805,5,4
,,,,,,
[2022-12-06 20:13:59 ()],174,11585.2375,676.1189081,0.785,5,4
,,,,,,
[2022-12-06 20:14:08 ()],175,8432.918356,521.2589066,0.715,5,3
,,,,,,
[2022-12-06 20:14:18 ()],176,7776,586.3662416,0.825,5,4
,,,,,,
[2022-12-06 20:14:28 ()],177,12688.15132,682.2576503,0.84,5,4
,,,,,,
[2022-12-06 20:14:39 ()],178,7137.085119,696.5917241,0.8,5,3
,,,,,,
[2022-12-06 20:14:49 ()],179,24355.49219,625.6598295,0.78,5,5
,,,,,,
[2022-12-06 20:14:59 ()],180,5915.403621,423.3315576,0.695,5,3
,,,,,,
[2022-12-06 20:15:09 ()],181,8971.877841,544.6643647,0.725,5,3
,,,,,,
[2022-12-06 20:15:20 ()],182,13111.66259,568.8732937,0.765,5,3
,,,,,,
[2022-12-06 20:15:30 ()],183,10507.06734,727.0790669,0.885,5,3
,,,,,,
[2022-12-06 20:15:40 ()],184,9482.372699,585.2121771,0.83,5,4
,,,,,,
[2022-12-06 20:15:50 ()],185,7524.83249,543.7511488,0.82,5,4
,,,,,,
[2022-12-06 20:16:00 ()],186,7776,577.2963916,0.77,5,3
,,,,,,
[2022-12-06 20:16:10 ()],187,12132.51631,725.6728896,0.82,5,4
,,,,,,
[2022-12-06 20:16:19 ()],188,21600,868.5508545,0.83,5,5
,,,,,,
[2022-12-06 20:16:29 ()],189,9451.011374,809.8319511,0.9,5,3
,,,,,,
[2022-12-06 20:16:39 ()],190,9107.359661,697.273365,0.895,5,3
,,,,,,
[2022-12-06 20:16:50 ()],191,35071.90876,743.4651139,0.825,6,6
,,,,,,
[2022-12-06 20:17:00 ()],192,19967.17947,650.6425693,0.795,6,4
,,,,,,
[2022-12-06 20:17:10 ()],193,11599.76758,643.4807635,0.755,6,3
,,,,,,
[2022-12-06 20:17:20 ()],194,6516.696095,675.4203038,0.835,6,3
,,,,,,
[2022-12-06 20:17:30 ()],195,9107.359661,654.2774675,0.82,6,3
,,,,,,
[2022-12-06 20:17:41 ()],196,11585.2375,783.4775628,0.76,6,4
,,,,,,
[2022-12-06 20:17:50 ()],197,23424.77321,657.4168987,0.815,6,5
,,,,,,
[2022-12-06 20:18:01 ()],198,8767.97719,540.7273341,0.76,6,4
,,,,,,
[2022-12-06 20:18:11 ()],199,8432.918356,618.1893935,0.795,6,4
,,,,,,
[2022-12-06 20:18:22 ()],200,7524.83249,588.3690891,0.77,6,4
